,Job Title,Company,Location,Salary,Search Term,lower_sal_val,upper_sal_val,mean salary,median_bool,state,60_perc_bool,70_perc_bool,75_perc_bool,90_perc_bool
0,Data Scientist,    Platinum Solutions,"Houston, TX",80000 - 120000,Houston,80000,120000,100000.0,False,'TX',False,False,False,False
1,Bioinformatics Software Developer,    Genialis,"Houston, TX",50000 - 80000,Houston,50000,80000,65000.0,False,'TX',False,False,False,False
2,Quality Assurance Analyst (Research),        Baylor College of Medicine,"Houston, TX",43794,Houston,43794,43794,43794.0,False,'TX',False,False,False,False
3,Flow Cytometry Specialist I,        Baylor College of Medicine,"Houston, TX",46831,Houston,46831,46831,46831.0,False,'TX',False,False,False,False
4,Research Statistical Analyst -Bioinformatics &amp; Computational...,        MD Anderson Cancer Center,"Houston, TX",66400 - 99600,Houston,66400,99600,83000.0,False,'TX',False,False,False,False
5,Data Architect,        Career Evolutions,"Phoenix, AZ",150000,Phoenix,150000,150000,150000.0,True,'AZ',True,True,True,False
6,RESEARCH AND STATISTICAL ANALYST,        Arizona Health Care Cost Containment System,"Phoenix, AZ",39983 - 55500,Phoenix,39983,55500,47741.5,False,'AZ',False,False,False,False
7,AIR QUALITY PLANNER 2-3,        State of Arizona,"Phoenix, AZ",45000 - 77000,Phoenix,45000,77000,61000.0,False,'AZ',False,False,False,False
8,Paralegal,"    Emord &amp; Associates, P.C.","Gilbert, AZ 85295",45000 - 55000,Phoenix,45000,55000,50000.0,False,'AZ',False,False,False,False
9,ENVIRONMENTAL SCIENTIST - EMISSIONS,        State of Arizona,"Phoenix, AZ",49000 - 61000,Phoenix,49000,61000,55000.0,False,'AZ',False,False,False,False
10,Web Security Research Analyst,        SiteLock,"Scottsdale, AZ",50000 - 55000,Phoenix,50000,55000,52500.0,False,'AZ',False,False,False,False
11,COMPLIANCE OFFICER - HAZ WASTE,        State of Arizona,"Phoenix, AZ",50000 - 61500,Phoenix,50000,61500,55750.0,False,'AZ',False,False,False,False
12,RESEARCH &amp; STATISTICS ANALYST,        State of Arizona,"Phoenix, AZ",30000 - 45000,Phoenix,30000,45000,37500.0,False,'AZ',False,False,False,False
13,ENVIRONMENTAL TECHNICIAN,        State of Arizona,"Phoenix, AZ",33000 - 42000,Phoenix,33000,42000,37500.0,False,'AZ',False,False,False,False
14,Digital Marketing (Data Scientist),"    Kennedy Unlimited Inc, Professional Staffing","Phoenix, AZ",100000 - 130000,Phoenix,100000,130000,115000.0,True,'AZ',False,False,False,False
15,"Information Technology Support Analyst, Senior (Phoenix, AZ)",        The University of Arizona,"Phoenix, AZ",39173 - 54944,Phoenix,39173,54944,47058.5,False,'AZ',False,False,False,False
16,Data Engineer,    Enodo Score,"Chicago, IL",70000 - 90000,Chicago,70000,90000,80000.0,False,'IL',False,False,False,False
17,Data Scientist,        Huxley Associates,"Chicago, IL",100000,Chicago,100000,100000,100000.0,False,'IL',False,False,False,False
18,Data Scientist,        Jobspring Partners,"Chicago, IL",120000 - 140000,Chicago,120000,140000,130000.0,True,'IL',True,False,False,False
19,"Analyst/Senior Analyst, Advanced Analytics",        Liberty Mutual,"Chicago, IL",73300 - 114900,Chicago,73300,114900,94100.0,False,'IL',False,False,False,False
20,Data Scientist,    Hirewell,"Evanston, IL",150000,Chicago,150000,150000,150000.0,True,'IL',True,True,True,False
21,Senior Data Scientist,        Workbridge Associates,"Chicago, IL",130000,Chicago,130000,130000,130000.0,True,'IL',True,False,False,False
22,Data Scientist,        Workbridge Associates,"Chicago, IL",125000,Chicago,125000,125000,125000.0,True,'IL',False,False,False,False
23,Machine Learning Engineer,        Jobspring Partners,"Chicago, IL",120000 - 150000,Chicago,120000,150000,135000.0,True,'IL',True,False,False,False
24,Statistical Analyst,        The LaSalle Network,"Chicago, IL 60601 (Loop area)",80000,Chicago,80000,80000,80000.0,False,'IL',False,False,False,False
25,Principal Data Lead (Machine Learning),        Jobspring Partners,"Chicago, IL 60604 (Loop area)",180000,Chicago,180000,180000,180000.0,True,'IL',True,True,True,True
26,Principal Data Scientist,        Jobspring Partners,"Chicago, IL 60610 (Near North Side area)",160000,Chicago,160000,160000,160000.0,True,'IL',True,True,True,False
27,Statistical Analyst -- Health-7444,    S.C. International,"Chicago, IL",80000,Chicago,80000,80000,80000.0,False,'IL',False,False,False,False
28,Lead Data Scientist,        Jobspring Partners,"Chicago, IL 60603 (Loop area)",150000,Chicago,150000,150000,150000.0,True,'IL',True,True,True,False
29,Quantitative Research Analyst,        Huxley Associates,"Chicago, IL",150000,Chicago,150000,150000,150000.0,True,'IL',True,True,True,False
30,Quantitative Risk Analyst,        Huxley Associates,"Chicago, IL",100000,Chicago,100000,100000,100000.0,False,'IL',False,False,False,False
31,Quantitative Analyst,    Huxley Banking &amp; Financial Services,"Chicago, IL",100000,Chicago,100000,100000,100000.0,False,'IL',False,False,False,False
32,Open Source Geniuses,    Hirewell,"Chicago, IL",120000,Chicago,120000,120000,120000.0,True,'IL',False,False,False,False
33,Lead Data Scientist,    Harnham,"Chicago, IL",250000,Chicago,250000,250000,250000.0,True,'IL',True,True,True,True
34,CTO,        Workbridge Associates,"Chicago, IL",90000 - 120000,Chicago,90000,120000,105000.0,False,'IL',False,False,False,False
